PriorityRank,EmployeeNumber,AttritionPropensity,Flagged,RiskBand,ReplacementLiability,ExpectedLoss,JobRole,Department,OverTime,JobLevel,YearsAtCompany,YearsSinceLastPromotion,StockOptionLevel,ActualOutcome_ValidationOnly
31,2021,0.9302,1,Critical,86168,80153.0,Sales Representative,Sales,Yes,1,2,1,0,Stayed
32,960,0.9298,1,Critical,86168,80115.0,Laboratory Technician,Research & Development,No,1,1,0,0,Left
33,163,0.9286,1,Critical,86168,80014.0,Sales Executive,Sales,Yes,2,7,7,0,Left
34,932,0.9284,1,Critical,86168,79994.0,Laboratory Technician,Research & Development,Yes,1,2,2,0,Left
35,175,0.9264,1,Critical,86168,79825.0,Sales Executive,Sales,Yes,2,2,2,1,Left
36,816,0.9262,1,Critical,86168,79808.0,Laboratory Technician,Research & Development,Yes,1,1,0,1,Left
37,1968,0.9259,1,Critical,86168,79780.0,Sales Executive,Sales,Yes,3,2,2,0,Left
38,485,0.9233,1,Critical,86168,79557.0,Sales Representative,Sales,Yes,1,1,0,0,Left
39,1167,0.9233,1,Critical,86168,79555.0,Sales Executive,Sales,Yes,4,21,13,0,Left
40,1539,0.9207,1,Critical,86168,79335.0,Research Director,Research & Development,Yes,4,32,13,0,Stayed
41,702,0.9181,1,Critical,86168,79111.0,Research Scientist,Research & Development,Yes,1,10,9,0,Left
42,19,0.914,1,Critical,86168,78754.0,Laboratory Technician,Research & Development,Yes,1,4,0,0,Left
43,1,0.9128,1,Critical,86168,78654.0,Sales Executive,Sales,Yes,2,6,0,0,Left
44,1331,0.9106,1,Critical,86168,78467.0,Sales Representative,Sales,Yes,1,3,2,0,Left
45,1504,0.9099,1,Critical,86168,78404.0,Laboratory Technician,Research & Development,No,1,0,0,0,Left
46,80,0.9079,1,Critical,86168,78228.0,Research Director,Research & Development,Yes,5,27,13,1,Stayed
47,746,0.9073,1,Critical,86168,78182.0,Sales Executive,Sales,Yes,4,22,11,2,Stayed
48,2023,0.9072,1,Critical,86168,78170.0,Sales Representative,Sales,No,1,1,1,1,Left
49,1944,0.9071,1,Critical,86168,78163.0,Human Resources,Human Resources,No,1,1,0,0,Left
50,913,0.9057,1,Critical,86168,78043.0,Research Scientist,Research & Development,Yes,1,8,7,0,Stayed
51,1319,0.9035,1,Critical,86168,77849.0,Sales Executive,Sales,Yes,3,8,7,0,Left
52,1928,0.9031,1,Critical,86168,77821.0,Sales Representative,Sales,No,1,1,0,0,Left
53,1646,0.9013,1,Critical,86168,77659.0,Research Scientist,Research & Development,Yes,1,6,1,0,Stayed
54,1427,0.9009,1,Critical,86168,77628.0,Sales Representative,Sales,No,1,1,0,0,Left
55,1611,0.8989,1,Critical,86168,77460.0,Laboratory Technician,Research & Development,Yes,2,10,1,0,Stayed
56,1188,0.8987,1,Critical,86168,77443.0,Sales Executive,Sales,No,2,4,1,0,Left
57,911,0.8987,1,Critical,86168,77436.0,Laboratory Technician,Research & Development,Yes,1,1,0,0,Left
58,440,0.8982,1,Critical,86168,77397.0,Research Scientist,Research & Development,Yes,1,3,2,0,Left
59,792,0.898,1,Critical,86168,77378.0,Laboratory Technician,Research & Development,No,1,2,2,1,Stayed
60,65,0.8975,1,Critical,86168,77337.0,Laboratory Technician,Research & Development,Yes,1,2,2,0,Left
61,167,0.8972,1,Critical,86168,77308.0,Sales Representative,Sales,Yes,1,0,0,0,Left
62,1019,0.8945,1,Critical,86168,77075.0,Laboratory Technician,Research & Development,No,1,4,1,1,Stayed
63,1004,0.8942,1,Critical,86168,77054.0,Research Scientist,Research & Development,Yes,1,5,0,0,Left
64,723,0.8919,1,Critical,86168,76855.0,Sales Executive,Sales,Yes,2,4,1,1,Left
65,1961,0.8913,1,Critical,86168,76802.0,Sales Representative,Sales,No,1,1,0,0,Stayed
66,1239,0.8908,1,Critical,86168,76755.0,Sales Executive,Sales,No,2,5,1,1,Stayed
67,927,0.8906,1,Critical,86168,76740.0,Laboratory Technician,Research & Development,Yes,1,7,1,1,Left
68,68,0.8864,1,Critical,86168,76382.0,Sales Executive,Sales,Yes,2,4,1,1,Stayed
69,1157,0.8853,1,Critical,86168,76284.0,Sales Executive,Sales,Yes,2,5,0,0,Left
70,269,0.8829,1,Critical,86168,76078.0,Laboratory Technician,Research & Development,No,2,6,1,0,Stayed
71,959,0.8826,1,Critical,86168,76054.0,Sales Representative,Sales,Yes,1,1,0,0,Left
72,1237,0.8822,1,Critical,86168,76018.0,Manufacturing Director,Research & Development,Yes,3,7,7,1,Stayed
73,925,0.8807,1,Critical,86168,75889.0,Sales Representative,Sales,Yes,1,3,1,0,Stayed
74,205,0.8801,1,Critical,86168,75836.0,Sales Representative,Sales,Yes,2,7,4,1,Stayed
75,401,0.8795,1,Critical,86168,75788.0,Sales Executive,Sales,Yes,2,8,7,0,Left
76,261,0.8781,1,Critical,86168,75665.0,Manufacturing Director,Research & Development,Yes,2,1,0,0,Left
77,1844,0.8766,1,Critical,86168,75532.0,Human Resources,Human Resources,Yes,1,2,2,3,Left
78,113,0.8731,1,Critical,86168,75236.0,Sales Representative,Sales,No,1,0,0,1,Stayed
79,1296,0.8721,1,Critical,86168,75148.0,Laboratory Technician,Research & Development,Yes,1,2,2,1,Stayed
80,1016,0.8714,1,Critical,86168,75090.0,Research Scientist,Research & Development,Yes,1,1,0,0,Left
81,382,0.871,1,Critical,86168,75050.0,Sales Executive,Sales,Yes,2,8,7,1,Stayed
82,137,0.8702,1,Critical,86168,74980.0,Laboratory Technician,Research & Development,Yes,1,1,1,0,Left
83,1752,0.8638,1,Critical,86168,74435.0,Sales Representative,Sales,No,1,2,2,0,Left
84,394,0.8634,1,Critical,86168,74399.0,Laboratory Technician,Research & Development,Yes,1,3,0,1,Left
85,363,0.8604,1,Critical,86168,74137.0,Manager,Sales,Yes,4,7,7,1,Stayed
86,1975,0.858,1,Critical,86168,73936.0,Sales Executive,Sales,No,4,20,11,0,Stayed
87,720,0.8568,1,Critical,86168,73826.0,Sales Executive,Sales,No,2,2,2,0,Left
88,142,0.8567,1,Critical,86168,73817.0,Sales Executive,Sales,Yes,2,6,0,0,Left
89,593,0.8563,1,Critical,86168,73781.0,Laboratory Technician,Research & Development,No,1,2,1,0,Left
90,1645,0.8552,1,Critical,86168,73694.0,Sales Executive,Sales,Yes,2,2,2,2,Left
91,1939,0.8543,1,Critical,86168,73615.0,Research Scientist,Research & Development,Yes,1,4,0,0,Left
92,608,0.8543,1,Critical,86168,73614.0,Human Resources,Human Resources,Yes,1,7,1,1,Left
93,648,0.8534,1,Critical,86168,73537.0,Sales Representative,Sales,No,1,1,0,1,Left
94,1916,0.8531,1,Critical,86168,73507.0,Laboratory Technician,Research & Development,No,1,2,2,1,Stayed
95,1318,0.8522,1,Critical,86168,73428.0,Sales Executive,Sales,Yes,3,5,1,0,Left
96,1780,0.8514,1,Critical,86168,73362.0,Sales Representative,Sales,No,1,1,1,0,Left
97,1496,0.8514,1,Critical,86168,73362.0,Manufacturing Director,Research & Development,Yes,3,2,2,0,Stayed
98,918,0.8513,1,Critical,86168,73352.0,Laboratory Technician,Research & Development,Yes,1,1,0,1,Left
99,1281,0.8497,1,Critical,86168,73220.0,Sales Executive,Sales,Yes,2,3,0,0,Stayed
100,1535,0.8493,1,Critical,86168,73179.0,Sales Executive,Sales,Yes,3,10,8,0,Stayed
101,952,0.8491,1,Critical,86168,73167.0,Sales Representative,Sales,Yes,1,1,0,3,Left
102,147,0.849,1,Critical,86168,73158.0,Laboratory Technician,Research & Development,Yes,2,9,0,0,Left
103,1286,0.848,1,Critical,86168,73072.0,Laboratory Technician,Research & Development,Yes,1,4,0,0,Stayed
104,64,0.8468,1,Critical,86168,72970.0,Laboratory Technician,Research & Development,Yes,3,1,0,0,Left
105,1458,0.8468,1,Critical,86168,72964.0,Laboratory Technician,Research & Development,Yes,1,1,0,0,Left
106,983,0.8468,1,Critical,86168,72964.0,Sales Executive,Sales,Yes,2,5,1,0,Stayed
107,454,0.846,1,Critical,86168,72896.0,Laboratory Technician,Research & Development,Yes,1,7,0,0,Left
108,214,0.8449,1,Critical,86168,72804.0,Research Scientist,Research & Development,Yes,1,1,0,1,Stayed
109,2053,0.8446,1,Critical,86168,72774.0,Laboratory Technician,Research & Development,Yes,2,4,0,1,Stayed
110,508,0.8444,1,Critical,86168,72764.0,Sales Representative,Sales,No,1,1,0,1,Stayed
111,1001,0.8427,1,Critical,86168,72613.0,Laboratory Technician,Research & Development,No,1,2,2,1,Stayed
112,475,0.8422,1,Critical,86168,72571.0,Sales Executive,Sales,Yes,2,2,2,1,Stayed
113,1077,0.8397,1,Critical,86168,72353.0,Sales Representative,Sales,Yes,1,2,0,0,Left
114,881,0.838,1,Critical,86168,72205.0,Research Scientist,Research & Development,Yes,1,10,7,1,Left
115,1594,0.8375,1,Critical,86168,72164.0,Laboratory Technician,Research & Development,Yes,2,3,0,1,Stayed
116,248,0.8346,1,Critical,86168,71920.0,Sales Representative,Sales,Yes,1,4,0,0,Left
117,274,0.8346,1,Critical,86168,71917.0,Manufacturing Director,Research & Development,No,2,2,2,1,Stayed
118,1307,0.8344,1,Critical,86168,71894.0,Manager,Research & Development,Yes,4,19,15,2,Stayed
119,1248,0.8341,1,Critical,86168,71872.0,Research Scientist,Research & Development,Yes,1,1,0,0,Left
120,55,0.8322,1,Critical,86168,71709.0,Laboratory Technician,Research & Development,No,1,1,0,0,Left
121,1111,0.8321,1,Critical,86168,71700.0,Laboratory Technician,Research & Development,No,1,1,0,2,Left
122,1017,0.83,1,Critical,86168,71517.0,Laboratory Technician,Research & Development,No,1,3,1,0,Left
123,397,0.8283,1,Critical,86168,71375.0,Research Scientist,Research & Development,No,2,8,7,0,Stayed
124,299,0.828,1,Critical,86168,71345.0,Sales Executive,Sales,No,2,6,0,0,Left
125,467,0.8276,1,Critical,86168,71311.0,Sales Representative,Sales,No,2,0,0,0,Stayed
126,1642,0.8275,1,Critical,86168,71307.0,Human Resources,Human Resources,Yes,2,10,0,0,Stayed
127,1835,0.8264,1,Critical,86168,71212.0,Sales Representative,Sales,Yes,2,4,0,2,Stayed
128,1502,0.8262,1,Critical,86168,71188.0,Laboratory Technician,Research & Development,No,1,5,0,0,Stayed
129,1278,0.8257,1,Critical,86168,71151.0,Healthcare Representative,Research & Development,Yes,4,33,15,1,Stayed
130,4,0.8251,1,Critical,86168,71095.0,Laboratory Technician,Research & Development,Yes,1,0,0,0,Left
131,732,0.8236,1,Critical,86168,70969.0,Sales Executive,Sales,No,2,2,2,0,Stayed
132,1747,0.8229,1,Critical,86168,70903.0,Human Resources,Human Resources,No,1,4,1,1,Left
133,1379,0.8209,1,Critical,86168,70737.0,Sales Representative,Sales,No,1,1,0,0,Left
134,796,0.8207,1,Critical,86168,70716.0,Sales Executive,Sales,No,2,4,1,0,Left
135,885,0.8205,1,Critical,86168,70699.0,Sales Executive,Sales,No,2,5,0,0,Stayed
136,1783,0.8202,1,Critical,86168,70672.0,Laboratory Technician,Research & Development,Yes,1,1,0,0,Left
137,1311,0.8192,1,Critical,86168,70585.0,Laboratory Technician,Research & Development,No,2,9,6,1,Stayed
138,75,0.8191,1,Critical,86168,70583.0,Laboratory Technician,Research & Development,Yes,1,2,2,1,Stayed
139,879,0.8188,1,Critical,86168,70555.0,Sales Executive,Sales,Yes,2,5,0,0,Stayed
140,1297,0.8157,1,Critical,86168,70291.0,Laboratory Technician,Research & Development,No,1,7,7,0,Stayed
141,1329,0.8133,1,Critical,86168,70078.0,Sales Executive,Sales,No,2,19,11,0,Stayed
142,994,0.813,1,Critical,86168,70050.0,Research Scientist,Research & Development,Yes,1,0,0,0,Left
143,2003,0.8129,1,Critical,86168,70048.0,Laboratory Technician,Research & Development,Yes,1,2,2,1,Stayed
144,1299,0.8124,1,Critical,86168,70002.0,Laboratory Technician,Research & Development,Yes,1,7,7,2,Left
145,773,0.8108,1,Critical,86168,69865.0,Research Scientist,Research & Development,Yes,1,1,0,1,Stayed
146,1010,0.8076,1,Critical,86168,69588.0,Laboratory Technician,Research & Development,Yes,1,4,0,1,Left
147,1893,0.8074,1,Critical,86168,69568.0,Research Scientist,Research & Development,Yes,1,1,1,1,Stayed
148,1489,0.8063,1,Critical,86168,69481.0,Sales Executive,Sales,Yes,2,15,10,0,Left
149,133,0.8062,1,Critical,86168,69467.0,Human Resources,Human Resources,Yes,1,3,0,0,Left
150,785,0.8054,1,Critical,86168,69401.0,Sales Executive,Sales,Yes,2,5,1,0,Left
151,1198,0.8045,1,Critical,86168,69318.0,Laboratory Technician,Research & Development,No,1,2,1,0,Stayed
152,1210,0.8044,1,Critical,86168,69314.0,Research Scientist,Research & Development,No,1,1,0,1,Left
153,1350,0.8034,1,Critical,86168,69229.0,Research Scientist,Research & Development,Yes,2,9,1,0,Stayed
154,1985,0.8033,1,Critical,86168,69215.0,Laboratory Technician,Research & Development,No,2,10,9,1,Stayed
155,1878,0.8013,1,Critical,86168,69050.0,Research Scientist,Research & Development,Yes,1,1,0,0,Left
156,1669,0.8008,1,Critical,86168,69004.0,Sales Executive,Sales,Yes,2,10,0,1,Stayed
157,351,0.8004,1,Critical,86168,68965.0,Laboratory Technician,Research & Development,Yes,1,9,7,1,Stayed
158,1734,0.7998,1,Critical,86168,68919.0,Sales Executive,Sales,No,2,0,0,0,Left
159,832,0.7983,1,Critical,86168,68785.0,Laboratory Technician,Research & Development,No,2,1,0,0,Stayed
160,939,0.7957,1,Critical,86168,68566.0,Research Scientist,Research & Development,Yes,1,3,0,0,Stayed
161,2013,0.793,1,Critical,86168,68329.0,Sales Representative,Sales,No,1,2,2,1,Stayed
162,896,0.7907,1,Critical,86168,68131.0,Sales Representative,Sales,Yes,1,3,0,3,Left
163,1372,0.7887,1,Critical,86168,67959.0,Sales Executive,Sales,Yes,4,19,3,0,Left
164,741,0.7885,1,Critical,86168,67944.0,Research Scientist,Research & Development,Yes,1,7,3,0,Left
165,1905,0.7874,1,Critical,86168,67845.0,Research Scientist,Research & Development,Yes,1,5,3,1,Left
166,1980,0.7854,1,Critical,86168,67676.0,Manufacturing Director,Research & Development,Yes,2,5,1,0,Stayed
167,954,0.7851,1,Critical,86168,67654.0,Sales Executive,Sales,No,3,1,0,1,Stayed
168,1827,0.7842,1,Critical,86168,67575.0,Manufacturing Director,Research & Development,Yes,3,22,14,1,Stayed
169,1415,0.7841,1,Critical,86168,67563.0,Laboratory Technician,Research & Development,No,1,3,0,1,Stayed
170,666,0.7823,1,Critical,86168,67411.0,Sales Representative,Sales,Yes,1,8,0,2,Stayed
171,1522,0.782,1,Critical,86168,67385.0,Research Scientist,Research & Development,No,1,9,0,0,Left
172,1409,0.7805,1,Critical,86168,67257.0,Laboratory Technician,Research & Development,No,1,5,0,0,Stayed
173,2055,0.7804,1,Critical,86168,67245.0,Sales Executive,Sales,Yes,3,3,2,1,Left
174,1868,0.7801,1,Critical,86168,67223.0,Research Scientist,Research & Development,Yes,1,1,1,0,Left
175,72,0.7795,1,Critical,86168,67165.0,Sales Executive,Sales,Yes,2,2,0,1,Stayed
176,991,0.7774,1,Critical,86168,66990.0,Research Scientist,Research & Development,Yes,1,3,1,0,Left
177,1675,0.7771,1,Critical,86168,66960.0,Laboratory Technician,Research & Development,No,1,4,3,0,Stayed
178,1541,0.7767,1,Critical,86168,66922.0,Sales Representative,Sales,Yes,1,11,5,1,Stayed
179,51,0.7757,1,Critical,86168,66844.0,Research Scientist,Research & Development,Yes,1,1,0,1,Stayed
180,396,0.7728,1,Critical,86168,66590.0,Research Director,Research & Development,Yes,5,3,1,0,Stayed
181,1180,0.7722,1,Critical,86168,66540.0,Research Scientist,Research & Development,Yes,2,1,0,1,Stayed
182,425,0.771,1,Critical,86168,66434.0,Laboratory Technician,Research & Development,No,3,24,9,1,Stayed
183,1605,0.7707,1,Critical,86168,66413.0,Research Scientist,Research & Development,Yes,1,4,1,0,Stayed
184,502,0.7703,1,Critical,86168,66373.0,Sales Executive,Sales,Yes,2,5,0,0,Left
185,647,0.7702,1,Critical,86168,66370.0,Laboratory Technician,Research & Development,Yes,1,6,1,1,Left
186,331,0.7698,1,Critical,86168,66333.0,Laboratory Technician,Research & Development,Yes,1,3,1,0,Left
187,1158,0.7687,1,Critical,86168,66239.0,Laboratory Technician,Research & Development,Yes,1,1,0,1,Stayed
188,904,0.7682,1,Critical,86168,66197.0,Sales Executive,Sales,Yes,3,10,0,0,Stayed
189,1204,0.767,1,Critical,86168,66091.0,Manager,Sales,No,4,26,15,0,Stayed
190,2010,0.7639,1,Critical,86168,65822.0,Laboratory Technician,Research & Development,No,1,6,4,0,Stayed
191,1402,0.7634,1,Critical,86168,65777.0,Research Scientist,Research & Development,Yes,2,20,1,0,Stayed
192,45,0.7629,1,Critical,86168,65733.0,Research Scientist,Research & Development,Yes,1,2,2,1,Left
193,1972,0.7595,1,Critical,86168,65448.0,Human Resources,Human Resources,Yes,1,6,1,1,Stayed
194,803,0.7594,1,Critical,86168,65433.0,Manufacturing Director,Research & Development,Yes,2,15,4,0,Stayed
195,1043,0.7591,1,Critical,86168,65408.0,Manufacturing Director,Research & Development,Yes,3,21,2,0,Stayed
196,2020,0.7572,1,Critical,86168,65248.0,Research Scientist,Research & Development,Yes,1,4,1,0,Stayed
197,1403,0.7531,1,Critical,86168,64894.0,Sales Executive,Sales,Yes,2,6,4,0,Stayed
198,1033,0.753,1,Critical,86168,64887.0,Healthcare Representative,Research & Development,No,2,1,0,0,Left
199,527,0.7507,1,Critical,86168,64686.0,Sales Executive,Sales,Yes,2,5,1,0,Stayed
200,1998,0.7487,1,Critical,86168,64518.0,Research Scientist,Research & Development,Yes,2,4,1,1,Stayed
201,233,0.7485,1,Critical,86168,64493.0,Research Scientist,Research & Development,Yes,1,5,1,1,Stayed
202,1421,0.7483,1,Critical,86168,64482.0,Healthcare Representative,Research & Development,Yes,3,8,7,0,Left
203,470,0.7456,1,Critical,86168,64251.0,Human Resources,Human Resources,Yes,1,3,1,1,Stayed
204,819,0.7456,1,Critical,86168,64250.0,Sales Executive,Sales,No,2,3,0,0,Left
205,1556,0.7456,1,Critical,86168,64250.0,Sales Representative,Sales,Yes,1,3,1,0,Stayed
206,1079,0.7449,1,Critical,86168,64189.0,Laboratory Technician,Research & Development,No,1,1,1,0,Left
207,1083,0.7439,1,Critical,86168,64104.0,Laboratory Technician,Research & Development,No,1,5,1,2,Stayed
208,1380,0.7428,1,Critical,86168,64009.0,Sales Executive,Sales,Yes,2,4,3,1,Left
209,1547,0.7426,1,Critical,86168,63986.0,Healthcare Representative,Research & Development,Yes,3,20,13,1,Stayed
210,1702,0.7419,1,Critical,86168,63929.0,Sales Representative,Sales,Yes,1,3,0,1,Left
211,1674,0.7417,1,Critical,86168,63910.0,Laboratory Technician,Research & Development,Yes,1,2,2,1,Stayed
212,1425,0.7387,1,Critical,86168,63652.0,Sales Executive,Sales,Yes,2,5,0,0,Stayed
213,1606,0.7372,1,Critical,86168,63520.0,Healthcare Representative,Research & Development,Yes,4,30,12,1,Stayed
214,90,0.734,1,Critical,86168,63246.0,Research Scientist,Research & Development,Yes,1,1,0,1,Left
215,329,0.7287,1,Critical,86168,62791.0,Manager,Sales,Yes,5,33,15,0,Stayed
216,281,0.7286,1,Critical,86168,62785.0,Laboratory Technician,Research & Development,Yes,2,7,3,1,Stayed
217,663,0.7283,1,Critical,86168,62755.0,Laboratory Technician,Research & Development,Yes,2,8,4,1,Stayed
218,964,0.7275,1,Critical,86168,62685.0,Research Scientist,Research & Development,Yes,1,1,0,1,Stayed
219,1597,0.7274,1,Critical,86168,62681.0,Healthcare Representative,Research & Development,No,2,8,7,1,Stayed
220,1735,0.7274,1,Critical,86168,62679.0,Laboratory Technician,Research & Development,No,1,3,1,0,Stayed
221,1880,0.7258,1,Critical,86168,62543.0,Sales Executive,Sales,Yes,2,10,1,1,Stayed
222,1960,0.723,1,Critical,86168,62299.0,Laboratory Technician,Research & Development,No,1,4,0,1,Left
223,362,0.7209,1,Critical,86168,62115.0,Laboratory Technician,Research & Development,No,2,6,0,0,Stayed
224,1202,0.7208,1,Critical,86168,62108.0,Research Scientist,Research & Development,Yes,1,5,1,1,Stayed
225,1486,0.7191,1,Critical,86168,61963.0,Sales Representative,Sales,No,1,3,1,1,Left
226,434,0.7187,1,Critical,86168,61927.0,Research Scientist,Research & Development,Yes,1,4,1,0,Stayed
227,1107,0.7178,1,Critical,86168,61853.0,Laboratory Technician,Research & Development,No,1,1,0,1,Left
228,1684,0.716,1,Critical,86168,61693.0,Laboratory Technician,Research & Development,Yes,1,5,1,0,Left
229,466,0.7148,1,Critical,86168,61596.0,Manufacturing Director,Research & Development,Yes,2,5,1,0,Stayed
230,325,0.7147,1,Critical,86168,61582.0,Laboratory Technician,Research & Development,Yes,1,5,0,1,Left
231,161,0.7141,1,Critical,86168,61536.0,Research Scientist,Research & Development,Yes,1,5,4,3,Left
232,1886,0.7137,1,Critical,86168,61498.0,Manufacturing Director,Research & Development,Yes,2,3,0,0,Stayed
233,103,0.7131,1,Critical,86168,61444.0,Human Resources,Human Resources,Yes,2,4,0,1,Stayed
234,2018,0.7128,1,Critical,86168,61421.0,Sales Executive,Sales,Yes,2,5,0,1,Stayed
235,145,0.7128,1,Critical,86168,61419.0,Healthcare Representative,Research & Development,No,3,13,12,0,Stayed
236,238,0.7124,1,Critical,86168,61386.0,Laboratory Technician,Research & Development,No,1,8,7,0,Stayed
237,1420,0.7122,1,Critical,86168,61365.0,Laboratory Technician,Research & Development,No,2,4,1,0,Left
238,1876,0.7087,1,Critical,86168,61064.0,Sales Representative,Sales,No,1,1,0,0,Left
239,315,0.7068,1,Critical,86168,60904.0,Research Scientist,Research & Development,Yes,1,4,0,0,Left
240,1481,0.7064,1,Critical,86168,60873.0,Sales Executive,Sales,No,2,1,0,1,Stayed
241,1396,0.7061,1,Critical,86168,60841.0,Sales Executive,Sales,Yes,2,3,1,3,Stayed
242,1055,0.706,1,Critical,86168,60835.0,Sales Representative,Sales,Yes,1,1,0,1,Stayed
243,1301,0.7038,1,Critical,86168,60643.0,Research Scientist,Research & Development,No,1,3,1,0,Stayed
244,1915,0.7033,1,Critical,86168,60601.0,Sales Executive,Sales,Yes,2,4,0,0,Stayed
245,1391,0.703,1,Critical,86168,60577.0,Sales Executive,Sales,No,3,4,3,0,Stayed
246,1175,0.7005,1,Critical,86168,60363.0,Laboratory Technician,Research & Development,Yes,1,1,0,0,Left
247,1614,0.7003,1,Critical,86168,60347.0,Manufacturing Director,Research & Development,Yes,2,3,1,2,Stayed
248,837,0.6998,1,Critical,86168,60299.0,Healthcare Representative,Research & Development,No,2,4,1,1,Stayed
249,1154,0.6995,1,Critical,86168,60278.0,Research Scientist,Research & Development,Yes,1,3,0,1,Stayed
250,246,0.6989,1,Critical,86168,60219.0,Research Scientist,Research & Development,Yes,1,4,0,1,Stayed
251,1760,0.6988,1,Critical,86168,60217.0,Laboratory Technician,Research & Development,No,1,6,0,1,Stayed
252,556,0.6988,1,Critical,86168,60212.0,Laboratory Technician,Research & Development,Yes,1,1,0,1,Stayed
253,1704,0.6979,1,Critical,86168,60138.0,Research Scientist,Research & Development,Yes,1,5,1,0,Stayed
254,875,0.6978,1,Critical,86168,60132.0,Research Scientist,Research & Development,Yes,1,2,2,0,Stayed
255,974,0.6965,1,Critical,86168,60016.0,Sales Representative,Sales,No,1,3,0,1,Stayed
256,1282,0.6922,1,Critical,86168,59642.0,Manager,Sales,Yes,5,29,11,1,Stayed
257,429,0.6899,1,Critical,86168,59448.0,Manager,Research & Development,Yes,4,21,11,0,Stayed
258,1650,0.6885,1,Critical,86168,59325.0,Sales Executive,Sales,No,2,5,1,0,Stayed
259,752,0.6879,1,Critical,86168,59276.0,Research Scientist,Research & Development,Yes,1,2,2,0,Left
260,669,0.6879,1,Critical,86168,59272.0,Sales Representative,Sales,No,1,3,1,0,Stayed
261,1125,0.6852,1,Critical,86168,59043.0,Sales Executive,Sales,No,3,1,0,0,Stayed
262,1258,0.6846,1,Critical,86168,58988.0,Laboratory Technician,Research & Development,No,1,1,0,0,Stayed
263,1694,0.6845,1,Critical,86168,58978.0,Research Scientist,Research & Development,No,1,4,1,1,Stayed
264,445,0.6841,1,Critical,86168,58947.0,Sales Executive,Sales,Yes,2,1,0,0,Left
265,854,0.6834,0,Critical,86168,58890.0,Research Scientist,Research & Development,No,1,4,0,0,Stayed
266,27,0.6829,1,Critical,86168,58846.0,Sales Representative,Sales,No,1,5,0,0,Left
